Number,Reference,Name,Text Content,Document,Codes,Number of Codes,Comment,Start position,End position,Extent,Creator,Creation Date,Modifier,Modification Date
14:3,p 10,,"or Experiment 1, we had a 10-minute AI introduction section before the experi- ment. In this section, we showed our participants a text-to-image experiment and an image- to-image experiment using Midjourney. This formal study consisted of 3 steps: warm-up ex- ercises (10 minutes), an AI drawing section (5-40 minutes) with the help of Midjourney, de- pending on when the designer reached the desired AI output, later with an in-depth inter- view (about 20 minutes) shown in Figure 4",AI as a Catalyst for Creativity_ Exploring the Use of Generative.pdf,Research Method: Quantitative: Experimental Research,1,it is a user study but they structure like an experiment.,10,10,1,Angela Rout,10/27/25,Angela Rout,10/27/25
14:4,p 11,,"We then conducted an online survey via Google Form7 to gather feedback from fashion and design practitioners by snowball sampling. In the survey, Designers were presented with images and phrases and asked to assess their alignment (Conwell & Ullman, 2022; Lee & Lin, 2023).",AI as a Catalyst for Creativity_ Exploring the Use of Generative.pdf,Research Method: Quantitative: Survey/Questionnaire,1,,11,11,1,Angela Rout,10/27/25,Angela Rout,10/27/25
14:5,p 23,,"By addressing the importance of prompt engineering, and the identification of the critical factors that influence designers’ decision-making, we aim to advance the understanding of how fashion designers work, drive the development of generative design initiatives, and ultimately serve as a valuable resource for researchers seeking to bridge the gap between AI and the futuristic fashion design process.",AI as a Catalyst for Creativity_ Exploring the Use of Generative.pdf,Transitions: Digital Tech Connections,1,prompt engineering and focusing on how people create prompts is an interesting way to explore how people relate to new technology,23,23,1,Angela Rout,10/27/25,Angela Rout,10/27/25
15:1,p 2,,Co-design for change: Propositions and dilemmas,Co-design for change_ Propositions and dilemmas.pdf,Paper Reflection: Comment,1,"this seems quite an open paper. It is by a Delft urbanism professor, Geertje, I know her, so that is always interesting. I think it might be more a positions paper but lets see",2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
15:2,p 2,,"A literature review was conducted, and twelve co-design propositions were identified after quali- tative analysis.",Co-design for change_ Propositions and dilemmas.pdf,Contribution: Summative/Integrative: Literature Review,1,"in the end this is a literature review, with some broader applications and insights",2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
15:3,p 2,,o-design propositions conflict because they align with an idealistic versus a realistic perspective,Co-design for change_ Propositions and dilemmas.pdf,Transitions: Legitimize Design (Scientific),1,I think that actually being very specific about challenges designers face is a good way to legitimise the research - it gives a helpful starting point and a rationale for why research is important,2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
15:4,p 2,,"Contemporary societies are confronted with complex challenges, including climate change, conflicts, cybercrime, and the rising prevalence of chronic diseases. Coming up with ade- quate solutions requires the involvement of all stakeholders, as suggested by the 17th Sus- tainable Development Goal “Partnerships for the Goals.” In the past decades, co-design has emerged as a prominent approach for co-developing interventions aimed at fostering social change and solutions to societal problems (Blackwell et al., 2017; Eyles et al., 2016; Gooch et al., 2021; C. N. Harrington et al., 2018; Wang et al., 2022). Co-design is a collaborative ap- proach that actively engages end-users and key stakeholders in the design process for change (Burkett, 2012) and holds promise to develop effective and contextually relevant so- lutions.",Co-design for change_ Propositions and dilemmas.pdf,Transitions: Legitimize Design (Scientific),1,"I find these intros quite funny - they take a big problem like climate change and by the end of the paragraph somehow design in their little study can help. Its nice, but also sometimes a bit overstated. I think it is definitely an attempt to legitimise design and frame it as a way to address big problems.",2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
15:5,p 3,,"Yet, a cross-disciplinary review and reflection on co-design prop- ositions, guidelines and heuristics that support change is lacking. ",Co-design for change_ Propositions and dilemmas.pdf,Transitions: Academic Community,1,"in a way doing reviews is, in itself, a way to build community, it is also a sign that a topic has matured to the point where there is enough literature to actually review it. Scientific formats like research papers make this easier to accomplish, even if they lack the diversity and designerly qualities of other formats",3,3,1,Angela Rout,10/17/25,Angela Rout,10/17/25
15:6,p 4,,"A literature search was conducted with the search string ((“Co-design” OR “Co-creation” OR “Participatory Design” OR “Participatory action research” OR “community-based participa- tory research”) AND (“propositions” OR “guidelines” OR “heuristics”)) on 11th August 2023 for any literature before the search date with Google Scholar. The inclusion criteria are that the article is peer-reviewed, with accessible full-text, and written in English.",Co-design for change_ Propositions and dilemmas.pdf,"Contribution: Summative/Integrative: Literature Review, Transitions: Legitimize Design (Scientific)",2,well here is a lit review and their method. Definitely legitimised design to see so many papers to be studied in a specific topic,4,4,1,Angela Rout,10/17/25,Angela Rout,10/17/25
15:7,p 5,,"3.1 Propositions Twelve propositions were identified from the literature. As outlined before, these are cate- gorized into propositions following an idealist perspective (in short: idealist propositions) and propositions following a realist perspective (in short: realist propositions). ",Co-design for change_ Propositions and dilemmas.pdf,Research Method: Qualitative: Content Analysis,1,"well, here is a lit review that does a similar thing we are doing - looks for tone, language, and perspective. They use the term ""propositions"" to frame the different categories. It ends up being a little philosophical. They present their results as a table which is something we can also do",5,5,1,Angela Rout,10/17/25,Angela Rout,10/17/25
15:8,p 13,,Figure 8 The dilemma Solution-oriented vs Problem-oriented to compromise a realistic proposition over two idealistic propositions or the other way around. ,Co-design for change_ Propositions and dilemmas.pdf,Transitions: Legitimize Design (Scientific),1,"I actually really like these diagrams, they do a really nice job of making something difficult, very clear. They are an interesting way to present results of a lit review. Overall I like they way they present their findings here and I need to remember this for our paper.",13,13,1,Angela Rout,10/17/25,Angela Rout,10/17/25
16:1,pp 1 – 2,,"Design Research SocietyDesign Research Society DRS Digital LibraryDRS Digital Library DRS Biennial Conference Series DRS2016 - Future Focused Thinking Jun 17th, 12:00 AM Could LEGO® Serious Play® be a useful technique for product coCould LEGO® Serious Play® be a useful technique for product co - design?- design? Julia Anne GardeUniversity of Twente Mascha Cecile van der VoortUniversity of Twente Follow this and additional works at: https://dl.designresearchsociety.org/drs-conference-papers CitationCitation Garde, J., and van der Voort, M. (2016) Could LEGO® Serious Play® be a useful technique for product co - design?, in Lloyd, P. and Bohemia, E. (eds.), Future Focused Thinking - DRS International Conference 2016, 27 - 30 June, Brighton, United Kingdom. https://doi.org/10.21606/drs.2016.24 This Research Paper is brought to you for free and open access by the Conference Proceedings at DRS Digital Library. It has been accepted for inclusion in DRS Biennial Conference Series by an authorized administrator of DRS Digital Library. For more information, please contact DL@designresearchsociety.org.
This work is licensed under a Creative Commons Attribution-Non Commercial 4.0 International License. Could LEGO® Serious Play® be a useful technique for product co-design?",Could LEGO® Serious Play® be a useful technique for product co -.pdf,Paper Reflection: Comment,1,"review of LEGO Serious Play as a ""technique for product co-design"" using 2 case studies",1,2,2,Michael Tjia,10/17/25,Michael Tjia,10/17/25
16:2,p 6,,Six student design teams of 3 to 4 members (all Master students Industrial Design Engineering) participated in a half-day LSP workshop that aimed at developing future product experiences. ,Could LEGO® Serious Play® be a useful technique for product co -.pdf,Research Method: Qualitative: Case Studies,1,"Two case studies include students to design a given brief/experience, and expressing their ideas with LEGO Serous Play",6,6,1,Michael Tjia,10/17/25,Michael Tjia,10/17/25
16:3,p 14,,This study explored whether LSP could be successfully applied within product design to reveal visions of (ideal) future product experiences together with potential future users. L,Could LEGO® Serious Play® be a useful technique for product co -.pdf,Contribution: Methodological: Design,1,Exploration of how LSP can be applied in a product design (education) context,14,14,1,Michael Tjia,10/17/25,Michael Tjia,10/17/25
16:4,p 17,,The strongest aspects of LSP are the fully developed step-by- step approach as well as the power of LEGO® to level the playing field and enable all participants to contribute. W,Could LEGO® Serious Play® be a useful technique for product co -.pdf,Transitions: Academic Community,1,LEGO Serious Play as a tool (leveling playing field) for collaboration between designers and non-designers.,17,17,1,Michael Tjia,10/20/25,Michael Tjia,10/20/25
17:1,p 2,,Co-creating pluralistic futures: A systematic literature review on participatory speculative design,Co-creating pluralistic futures_ A systematic literature review o.pdf,Paper Reflection: Comment,1,"This paper is about participatory speculative design (PSD) aimed at exploring complex socio-technical challenges. Unlike traditional speculative design, which focuses mainly on future artifacts, this approach emphasizes the process of co-creation, empowering participants to imagine and shape multiple potential futures.  The paper is well structured. It clearly explains the background of the topic and outlines the methods step by step, always including a short introduction and then elaboration of each segment.",2,2,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
17:2,p 2,,"outlines three practical pathways of participatory speculative design, which are characterized as ""technical speculation,"" ""social speculation,"" and ""integrated speculation,"" along with seven participatory methods that can be used in the design process. Finally, the study proposed a frame- work for participatory speculative design flow, delineating four phases to guide the practice of participatory speculative design. ",Co-creating pluralistic futures_ A systematic literature review o.pdf,Contribution: Methodological: Societal,1,"Paper offers 3 main practical pathways for participatory speculative design, describes 7 participatory methods that can be used within these pathways to engage participants in the design process, and proposes a workflow with 4 phases to guide the process. The urgency is the complexity of real world problems. The designer's role is to bridge gaps and connect various stakeholders.",2,2,1,Marija Mateljan,10/21/25,Marija Mateljan,10/21/25
17:3,p 2,,"complex socio-technical challenges in the real world, which may involve potential moral, cultural, social, and political implications for humanity, such as conflicts between AI automation technology and employment, controversies over gene editing technology and social ethics, and so on",Co-creating pluralistic futures_ A systematic literature review o.pdf,,0,societal transition: how to solve complex socio-technical issues,2,2,1,Marija Mateljan,10/21/25,Marija Mateljan,10/28/25
17:4,p 3,,"used in participatory speculative design to co-create pluralistic futures? To address these research questions, this paper will unfold as follows: first, we described the participatory shift in speculative design and expound on the formation of PSD. Secondly, through a literature review, we clarified the practical pathways of PSD across d",Co-creating pluralistic futures_ A systematic literature review o.pdf,,0,Research Questions,3,3,1,Marija Mateljan,10/28/25,ATLAS.ti,10/28/25
17:5,p 5,,The retrieval of literature data was sourced from two databases: Web of Science and Google Scholar,Co-creating pluralistic futures_ A systematic literature review o.pdf,Contribution: Summative/Integrative: Literature Review,1,"I guess Literature Review is also a contribution on its own, besides the practical steps.",5,5,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
17:6,p 5,,"ve,"" and ""design."" The search scope was limited to titles, keywords, and abstracts. Due to the fluidity of design terminology, it is necessary to clarify that variations of ""specula- tive design"" mentioned in titles and keyw",Co-creating pluralistic futures_ A systematic literature review o.pdf,Research Method: Qualitative: Content Analysis,1,"It is Literature Review, so I guess Content Analysis is the most appropriate? They have a kind of structured approach to literature review with specific selection criteria and sources like web of science and google scholar, so it is also to some extent quantitative analysis.",5,5,1,Marija Mateljan,10/21/25,Marija Mateljan,10/28/25
17:7,p 10,," quantitative analysis by combining the classification of practical pathways and par- ticipatory methods, resulting in the findings shown",Co-creating pluralistic futures_ A systematic literature review o.pdf,Research Method: Quantitative: Correlational Research,1,"I think this is correlational research, as they are connecting practical pathways to methods? they say it is statistical analysis.",10,10,1,Marija Mateljan,10/21/25,Marija Mateljan,10/21/25
17:8,p 17,,"Perhaps anthropology, which excels in cultural context research, can provide theoretical guidance for further cross-cultural exploration in PSD practices. However, currently, only a few studies in social and integrated speculative thinking have utilized anthropological meth- ods (Lenskjold & Jönsson, 2017; Rüller et al., 2022)",Co-creating pluralistic futures_ A systematic literature review o.pdf,,0,Anthropology as a next step to help with participatory approaches,17,17,1,Marija Mateljan,10/21/25,Marija Mateljan,10/28/25
17:9,p 18,,"The future is not a single vision defined by scientists or designers; rather, it is a collective ex- ploration of various forms and actions at the intersection of design and everyday life, across different possible scenarios. Participatory speculative design, as one of the crucial initiatives for co-creating pluralistic future, awaits the collective participation of more researchers.",Co-creating pluralistic futures_ A systematic literature review o.pdf,Transitions: Academic Community,1,"I am not sure, but they want to contribute to the participatory approaches that engage different communities to have multiplicity of perspectives.",18,18,1,Marija Mateljan,10/21/25,Marija Mateljan,10/21/25
18:1,p 2,,Critical Placemaking: towards a more critical engagement for participatory design in the urban environment,Critical Placemaking_ towards a more critical engagement for part.pdf,Paper Reflection: Comment,1,"This is a difficult paper to place. It really is an opinion piece - or a literature summary, they say they provide a framework, but it is quite loosely defined. It is topic focused and a discussion on the topic.",2,2,1,Angela Rout,10/27/25,Angela Rout,10/27/25
18:2,p 2,,"a framework for design research that invites civic participation in the construction of place, and aims to reignite the conversation Nigel Cross raised in 1971 as a part of the first proceeding of the Design Research Society, calling on a need for user participation and intentional boundary-crossing.",Critical Placemaking_ towards a more critical engagement for part.pdf,Contribution: Theoretical: Conceptual Framework,1,"ok weird combination here - framework, and then a reference to a historical event. the framework is for participatory design research, co-creation and critical action",2,2,1,Angela Rout,10/27/25,Angela Rout,10/27/25
18:3,p 2,,"Additionally, the digital tools we use to understand and navigate urban environments as physical place, cultural space and social territory offer a new “place” and opportunities to rethink the role of the planner and designer in the process.",Critical Placemaking_ towards a more critical engagement for part.pdf,Transitions: Digital Tech Connections,1,digital tools are changing landscapes which whanges how and why we design,2,2,1,Angela Rout,10/27/25,Angela Rout,10/27/25
18:4,p 3,,"What is Critical Placemaking? Historically tied to the physical environment, and seeded by well-known urbanists like William H. Whyte and Jane Jacobs, placemaking focuses on the ways that urban environments manage and shape human experience. In her book, The Power of Place, Winnifred Gallagher (2007) argues the impact of place on our human psyche. “Just as the world around us affects our behavior, our thoughts, emotions, and actions affect our surroundings” (p. 19).",Critical Placemaking_ towards a more critical engagement for part.pdf,Research Method: Qualitative: Content Analysis,1,"I guess this is a summative literature review - they just go over literature and present some thoughts as a ""framework""",3,3,1,Angela Rout,10/27/25,Angela Rout,10/27/25
19:1,p 2,,Culture-Orientated Food Design for Social Issue ,Culture-Orientated Food Design for Social Issue.pdf,Paper Reflection: Comment,1,"well this seems very loosely ""design"" it is sociology but sort of framed in a design context. Im still not sure where the design actually ends up in this paper.",2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:2,p 2,,the paper proposes a culture-oriented food design model to strengthen cultural identity and create connections. ,Culture-Orientated Food Design for Social Issue.pdf,Contribution: Theoretical: Conceptual Framework,1,"well they present a ""Conceptual model"" as a contribution. A super fuzzy thing to contribute, but framed in a research paper is interesting",2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:3,p 2,," The result indicates that the design on culturally significant food can be applied to the identity problem related to specific communities and populations by enhancing food experiences, thus to strengthen cultural identity, increase social inclusion and cultural diversity.",Culture-Orientated Food Design for Social Issue.pdf,Contribution: Practical/Applied: Object,1,design of culturally sensitive food???,2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:4,p 3,,he process of designing food experience on Chinese food,Culture-Orientated Food Design for Social Issue.pdf,Transitions: Academic Community,1,"well thi sis a very new to design topic and super niche, I wonder if this creates community. Not sure why it is here in DRS",3,3,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:5,p 4,,"ood design is the design of food; it sees food as an object for designing, includes its taste, consistency, texture, surface, the sound of chewing, smell, and all other object properties. ",Culture-Orientated Food Design for Social Issue.pdf,Transitions: Academic Community,1,"well I think food-design is literally cooking? or being a chef? so like an architect, but instead of buildings you design food? well, that is an interesting idea and it is a way to bridge topics - through design - design can be a topic for anyone",4,4,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:6,p 7,,one-year-long ongoing research and design work on Chinese Americans in New York City,Culture-Orientated Food Design for Social Issue.pdf,Research Method: Qualitative: Case Studies,1,case study - longitudinal,7,7,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:7,p 7,,"ualitative research methods have been used in this research, including interview, questionnaire, literature review, and prototype.",Culture-Orientated Food Design for Social Issue.pdf,"Research Method: Qualitative: Interviews, Research Method: Quantitative: Survey/Questionnaire",2,methods are all qualitative,7,7,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:8,p 7,,interviews with ten Chinese Americans in New York were done in order to get general views on the most common and severe problem regarding Chinese American immigrants' cultural identity. In-depth interviews about 45 minutes each have been done face-to-face or on the phone.,Culture-Orientated Food Design for Social Issue.pdf,Research Method: Qualitative: Interviews,1,interviews with chinese americans,7,7,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:9,p 8,,"As the user has been assured before, according to the UCED Model, content associated with food culture needs to be considered. In order to know food consumption of target users, an online survey has been done to know more about second-generation Chinese Americans' eating and cooking habits. ",Culture-Orientated Food Design for Social Issue.pdf,Research Method: Quantitative: Survey/Questionnaire,1,seems like the topics of the interviews and survey are very broad. they talk about identity and social problems. finally they talk about eating and cooking habits,8,8,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:10,p 10,,"In service design, good design on touch points and fluid experience in transition can increase user's satisfaction. Experience is the essence of a service, which coincides with how a person gets into the core of a culture. Practice and experience provide people with the channel to know the deepest meaning beyond tangible cultural objects. At this point, there is an opportunity for applying service design on culture issue to enhance user's experience. Besides, service design can provide a small, affordable, and cost-effective solution for SME business (Brooker, 2013). ",Culture-Orientated Food Design for Social Issue.pdf,Transitions: Legitimize Design (Scientific),1,"well I guess ""service design"" is a whole thing - where the entire experience of something is designed. Even here they apply ""design"" on a cultural issue to enhance a user's experience",10,10,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:11,p 11,,"Foodtale (Figure 4) came up, which is a delivery service of prepared Chinese dish’s ingredient, using storytelling way to introduce the story behind the food. Using food to evoke self-reflection, Foodtale encourages second-generation Chinese Americans to keep their Chinese food eating habit and cook Chinese dishes more. ",Culture-Orientated Food Design for Social Issue.pdf,Contribution: Practical/Applied: Digital Product,1,"ah here - they finally get to the point where they use all this research to develop a website. This is where it makes sense. they use the research to investigate a problem and then finally present a website, although they dont present the paper as a website contribution. Its a matter of reframing the design process, as research",11,11,1,Angela Rout,10/17/25,Angela Rout,10/17/25
19:12,p 13,,"The final design concept for second-generation Chinese American, as a socially beneficial service, creates a new probe into minority’s culture issue, which is different from existing solutions and can be economically sustainable on its own",Culture-Orientated Food Design for Social Issue.pdf,Transitions: Legitimize Design (Scientific),1,"this paper is a lesson in how to turn a new website into publishable research. They share a ""hot"" and urgent topic, they call it ""service design"", they conduct interviews and the results, and then do an evaluation",13,13,1,Angela Rout,10/17/25,Angela Rout,10/17/25
20:1,p 2,,Data-Painting: Expressive free-form visualisation,Data-painting_ Expressive free-form visualisation.pdf,Paper Reflection: Comment,1,"The paper explores expressivity in data visualization, i.e. how people can create more free-form and artistic 'cloudy' representations of data rather than relying on rigid, conventional 'clear and precise' data visualization frameworks. The research question is: How can expressivity inform the design and development of data visualization applications? I find the method bizarre, and outcomes underwhelming.",2,2,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:2,p 3,,"new scientific understanding came initially from drawing images and diagrams where the meaning was not at first clear, sometimes even to themselves. ",Data-painting_ Expressive free-form visualisation.pdf,,0,Role of data to create novel insight.,3,3,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:3,p 3,,"not only as clear and precise visualizations, but also as 'cloudy' data representations, which may be a reflection of the mindset and questions of the creator, as well as of the data itself.",Data-painting_ Expressive free-form visualisation.pdf,,0,Comparing clear and precise traditional data visualization with more artistic cloudy visualization.,3,3,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:4,p 3,,"xpressive visualization tools may also provide avenues for engaging new and broader audiences, for communicating data, in new and exciting ways",Data-painting_ Expressive free-form visualisation.pdf,"Transitions: Academic Community, Transitions: Digital Tech Connections",2,"I am not sure if this is Digital Tech Connections i.e. the way to expand thinking about data visualization which is always considered part of the digital realm, or is it about Academic Community, trying to engage audiences who are reluctant towards the digital.",3,3,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:5,p 3,,"study with 20 participants of varying levels of skill in data visualisation, who each created an expressive data visualisation utilising data painting",Data-painting_ Expressive free-form visualisation.pdf,Research Method: Qualitative: Interviews,1,"It is a qualitative user study. I guess Interviews is the closest, as people were creating media (data paintings) on their own. Once they created the paintings, the researchers did a Content Analysis. So data collection method is interview and analysis method is content analysis.",3,3,1,Marija Mateljan,10/22/25,Marija Mateljan,10/28/25
20:6,p 4,,"DataInk is part of a new breed of data-bound tools for drawing visualisations, alongside examples such as iVolver (Mendez et al. 2016), Charticulator (Ren et al. 2019), Data Illustrator (Liu et al. 2018), and StructGraphics (Tsandilas et al. 2020). These tools show promise of increased customisability and expression in designing and interacting with data visualisations and stand in contrast to widely used template-based tools for non-experts, such as Microsoft Excel, SPSS, and Tableau. While the examples of data-bound drawing tools offer a glimpse of expressive possibilities, established tools such as Adobe Illustrator today provide great expressive freedom, but lack any notion of data binding. At the far end of the ‘expert’ spectrum, we might also consider programming libraries used to generate visualisations, such as d3.js (Bostock et al., 2011), which support novel representations but require considerable programming skills. At face-value, more complicated applications have increased support for expressive features and customisation, but they remain less accessible for non-experts. Sketch-based applications also offer opportunities for expression and personalization. For example, SketchViz (Brade et al. 2012) focuses on the basic forms of sketching and offers an immediate, hands-on approach which resonates with traditional mark-making. In contrast, SketchInsight (Lee et al. 2015) and SketchStory (Lee et al. 2013) allow people to draw and interact with simple charts directly on a whiteboard. Xia et al.'s Data Ink (2018) focuses on the directly drawn image in relation to glyphs to support expressive outputs, and similarly, Data Driven Guides supports image import and vector-based editing of data to create highly sophisticated graphical outputs (Kim et al. 2017).",Data-painting_ Expressive free-form visualisation.pdf,,0,"Maybe these tools are interesting to check in the context of architectural design, as opposition to known tools like illustrator or excel.",4,4,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:7,p 4,,Studying how expressivity can inform the design and development of data visualisation applications. ,Data-painting_ Expressive free-form visualisation.pdf,,0,This seems to be the Research Question.,4,4,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:8,p 4,,We designed a study in which we use a novel approach to data-to-colour mapping.,Data-painting_ Expressive free-form visualisation.pdf,Contribution: Methodological: Research,1,"They developed a 'data-to-color' mapping method that directly links numerical data to physical paint volume and free form painting. So I guess it is a novel method of 'data processing' and/or 'qualitative visualization'.  Participants were asked to treat paint as if it contained data, using tools like syringes and silicone brushes to measure and apply precise amounts (e.g., 1.5 data units = 1.5 ml paint).",4,4,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:9,p 4,,"we use volume of paint as a direct mapping to data value and asked participants to imagine that the paint contained data that they mapped onto a blank canvas. We curated this by using medical syringes to extract acrylic paint, and silicone brushes and receptacles to limit paint-loss",Data-painting_ Expressive free-form visualisation.pdf,,0,WTF,4,4,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:10,p 5,,Participants filled out a demographic questionnaire assessing familiarity with data visualization software and artistic practices.,Data-painting_ Expressive free-form visualisation.pdf,Research Method: Quantitative: Survey/Questionnaire,1,Participants filled in pre-study demographic questionnaire to assess familiarity with data visualization before the experiment.,5,5,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:11,p 5,,Participants were asked to think aloud as they worked and live transcription (touch typing) was taken in real time,Data-painting_ Expressive free-form visualisation.pdf,Research Method: Qualitative: Interviews,1,The 'think aloud' is a qualitative data collection method. I guess this belongs to Interviews?,5,5,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:12,p 5,,hey were also filmed from above and the side so that the process could be revisited during analysis.,Data-painting_ Expressive free-form visualisation.pdf,Research Method: Qualitative: Content Analysis,1,I don't know if filming the process should be considered content analysis in our coding.,5,5,1,Marija Mateljan,10/22/25,Marija Mateljan,10/28/25
20:13,p 6,,"That they would like the participants to think aloud during the data-painting process. A post-study questionnaire querying the experience, and memorability of the resulting data-painting was given at the end of the study. ",Data-painting_ Expressive free-form visualisation.pdf,Research Method: Quantitative: Survey/Questionnaire,1,Participants also filled in post-study questionnaire.,6,6,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:14,p 6,,"We used an open-coding and annotation process to tease out themes and categories. All paintings were fixed to the walls of a large meeting room. We spent two hours to immerse ourselves in the data, talking about, describing, and noting down observations. We produced 90 post-it notes containing our initial findings. By going over these, and linking them to the observations and paintings, we condensed our themes and started to draft descriptions of these",Data-painting_ Expressive free-form visualisation.pdf,Research Method: Qualitative: Content Analysis,1,Researchers coded observations to identify themes and categories (open coding) in participant's paintings.,6,6,1,Marija Mateljan,10/22/25,Marija Mateljan,10/22/25
20:15,p 14,,"nd exactly what the possibilities and limitations of readability are. Could similar freedoms and expressivity can be emulated in digital form? Are there features of working with data in an analogue manner that offer expressive experiences and opportunities for expressivity that we cannot provide digitally, or that will not work if translated into digita",Data-painting_ Expressive free-form visualisation.pdf,Transitions: Academic Community,1,Addressing the community which sees value in personal expression?,14,14,1,Marija Mateljan,10/22/25,Marija Mateljan,10/28/25
20:16,p 14,,"expressivity, we might discover new ways of supporting visual thinking, a",Data-painting_ Expressive free-form visualisation.pdf,Transitions: Digital Tech Connections,1,Contextualizing their analogue approach within the broader context of digital technologies?,14,14,1,Marija Mateljan,10/22/25,Marija Mateljan,10/28/25
21:1,pp 1 – 2,,"Design Research SocietyDesign Research Society DRS Digital LibraryDRS Digital Library DRS Biennial Conference Series DRS2016 - Future Focused Thinking Jun 17th, 12:00 AM Design for Sustainability: An Evolutionary ReviewDesign for Sustainability: An Evolutionary Review Fabrizio CeschinBrunel University London Idil GaziulusoyUniversity of Melbourne Follow this and additional works at: https://dl.designresearchsociety.org/drs-conference-papers CitationCitation Ceschin, F., and Gaziulusoy, I. (2016) Design for Sustainability: An Evolutionary Review, in Lloyd, P. and Bohemia, E. (eds.), Future Focused Thinking - DRS International Conference 2016, 27 - 30 June, Brighton, United Kingdom. https://doi.org/10.21606/drs.2016.59 This Research Paper is brought to you for free and open access by the Conference Proceedings at DRS Digital Library. It has been accepted for inclusion in DRS Biennial Conference Series by an authorized administrator of DRS Digital Library. For more information, please contact DL@designresearchsociety.org.
This work is licensed under a Creative Commons Attribution-Non Commercial 4.0 International License. Design for Sustainability: An Evolutionary Review",Design for Sustainability_ An Evolutionary Review.pdf,Paper Reflection: Comment,1,another summary of literature themes as the thematic discussion. this is not really a research paper I would say but a position piece or literature summary,1,2,2,Angela Rout,10/27/25,Angela Rout,10/27/25
21:2,p 2,,"provides an overview of the Design for Sustainability (DfS) field, categorising the approaches developed in the past two decades under four innovation levels: Product, Product-Service System, Spatio-Social and Socio-Technical System",Design for Sustainability_ An Evolutionary Review.pdf,Contribution: Summative/Integrative: Literature Review,1,well maybe the main contribution is a literature review - not sure if it is a method or a contribution,2,2,1,Angela Rout,10/27/25,Angela Rout,10/27/25
21:3,p 2,,"As a result of this overview, we propose an evolutionary framework and map the reviewed DfS approaches onto this framework. ",Design for Sustainability_ An Evolutionary Review.pdf,Contribution: Theoretical: Conceptual Framework,1,well they say they present a framework,2,2,1,Angela Rout,10/27/25,Angela Rout,10/27/25
21:4,p 3,,"Our exploration follows a quasi-chronological pattern. In the following sections we shortly present the DfS approaches emerged in the past decades. The description is coupled by Table 1 which provides, for each DfS approach, additional information regarding limitations and potential future research directions. DfS approaches are categorised in four different innovation levels: ",Design for Sustainability_ An Evolutionary Review.pdf,Research Method: Qualitative: Content Analysis,1,I suppose the method is content analysis - but is a literature summary and chronology or themes in literature,3,3,1,Angela Rout,10/27/25,Angela Rout,10/27/25
22:1,p 2,,Design Justice: towards an intersectional feminist framework for design theory and practice,Design Justice_ towards an intersectional feminist framework for.pdf,Paper Reflection: Comment,1,"OK well this paper comes off strong! a woman from MIT and I like that it is about theory and practice. I assume the writing is good, but always interesting to present this kind of content at a conference. After reading it is clear the paper is not a research paper, but a presentation of ideas, and activities that the author is involved in. It is a call for community and an argument for ideas.",2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
22:2,p 2,,"propose a working definition of design justice: Design justice is a field of theory and practice that is concerned with how the design of objects and systems influences the distribution of risks, harms, and benefits among various groups of people. ",Design Justice_ towards an intersectional feminist framework for.pdf,Contribution: Theoretical: Opinion,1,"well she says here she presents a ""working definition"". Well that's a nice contribution for a humanistic style paper",2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
22:3,p 2,,"In June of 2015, at the Allied Media Conference in Detroit, a group of 30 designers, artists, technologists, and community organizers took part in the workshop “Generating Shared Principles for Design Justice.” ",Design Justice_ towards an intersectional feminist framework for.pdf,Transitions: Legitimize Design (Scientific),1,this is a really interesting way to start an introduction - with a description of an event you held! Legitimizes your work and builds on success,2,2,1,Angela Rout,10/17/25,Angela Rout,10/17/25
