"","ID","Cluster","Abstract","Title","Downloads","Publication Year","ClusterTheme"
"11",11,"7","Recently, it has been more important for software designers to do the part in developing usercentered software. They produce visual document to help communication among developers. Visual diagram to analyze user need factors is based on user scenario. Case study of distributed virtualreality services in architectural process can show a sample of developing process visually. It is important to produce visual document of one combined opinion among developers in process of defining development boundary, developing main concept, and selecting development system. Visual document created by software designer is a step to recognize design factors in the process of collecting design factors of user and environment and analyzing design factor by user scenario. Also, in the process of interface and prototype development, visual document is needed for the concord process among developers. Those visual documents with visual language could help to define each developer’s role and duty, to develop user-centered concept and various interface proposals while developing software.","A study in making a software development process visual",58,2002,"communication/physical"
"12",12,"6","This paper attempts to bring to design dialogue an expanded meaning of the term “commodity” by revealing its presence and discussion in other disciplines via the writings of some of the predominant thinkers through history. Particularly germane to design are the notions of commodity fetishism and commodity aesthetics eloquently outlined in treatises by Karl Marx and Wolfgang Haug. Experiments in generating innovative forms largely perceived as imperative creative exercises in design are, according to Marxist thought, merely attempts to valorize capital. The redesign of product forms is labeled by Marxists as ‘aesthetic aging,’ and referred to as an activity with sole purpose of forcefully outdating existing products. Also critical is the notion discussed by Marx, and later by Walter Benjamin, that human (and maybe robotic) labor-power expended in the making of the commodity is invisible to the consumer, thereby degrading as a value. By referring to a commodity as a product (a visible, tangible termination of the process of design and manufacture), designers align themselves at the other extreme of this idea. Modernist thinking emphasized the visibility of function and means of manufacturing of products, revealing an interesting antithesis. Theodor Adorno likens the production of culture to that of mass-produced objects. He therefore portrays the commodity as a metaphor for culture by equating its means of generation, which relies on standardized industry, to that of cultural production. Not habituated to fundamental discussions of capitalism and political economy, the inclusion of such material will challenge existing definitions of objects within the debate of design history.","A very strange thing: commodity discourse in cultural theory and design",623,2002,"product/products"
"13",13,"8","Compared to the “market model,” little theorizing has been done to produce a model of design for social need. This paper discusses a process of social service intervention that can address the product needs of vulnerable populations. This process follows a problem-solving approach whereby a professional or professional team works collaboratively with clients to improve their quality of life. A number of options for how product designers might work with such an intervention team are explored. The authors then outline a program of research. A multi-faceted approach to address questions related to social design would include survey research and interviews, content analysis of archival data, the development of case studies, participant observation, and research that centers on the development and evaluation of socially responsible products. Questions related to the education of a social designer are also considered.","A ‘social model’ of design: issues of practice and research",1248,2002,"critical/world"
"14",14,"1","In user-centred design, a common ground that emerges is an orientation towards research into the needs and wishes of consumers. Hermeneutic phenomenology can be adopted by a designer to investigate her/his own activity and use of knowledge in designing. A reflection of this kind is presented here. It is based on design and research activities in the domain of product design, in which the realization of user-centred design was sought by means of preliminary user research, application of its results in design work, and evaluation of the outcomes through renewed user research. The outcome of the reflection is the formulation of a generative metaphor for further design and research. This generative metaphor is derived using analytic and exegetical approaches from hermeneutic phenomenology. Thinking of the designer as “an Indian who doesn’t know how to grow the maize”, it is proposed, addresses questions of an integrative view on the design task; the proximity between designers and consumers; and the use of projection to distinguish between users’ present situation and a potential future one. In exemplarily presenting this metaphor, the paper hopes to contribute to an already growing resource of knowledge in the discipline of design, and user-centred design in particular, on the possibilities, responsibilities and implications of designers’ professional activity.","An Indian who doesn’t know how to grow the maize",79,2002,"design/process"
"15",15,"6","As the aesthetic aspect of a product is becoming more and more important in customers' decisions, there is an increasing need of tools able to express and preserve the styling intent during the product development cycle, while offering an interaction with the user much more adherent to his mentality. The European Project FIORES-II (Character Preservation and Modelling in Aesthetic and Engineering Design) is aimed at creating innovative CAD tools capable to capture and preserve the product aesthetic character and make it accessible in a multi criteria approach for styling and engineering design optimisation. In order to explore the possible relationships between emotional character and product shape, an extensive analysis has been carried out, thanks to the collaboration of industrial designers in the automotive field, such as BMW, Pininfarina, Saab, and in household supplies field, such as Alessi and Eiger. In this paper, the main outcome and the innovative design functionality defined on the basis of the results of the above mentioned research will be presented.","An innovative approach to the aesthetic design",448,2002,"product/products"
"16",16,"5","This paper describes an interpretive framework that can be applied to the history of materials in the modern era based on a triad of critical terms: fabrication, application and appreciation. Fabrication deals with the initial stages in the life cycle of materials. It refers to the extraction, refining and preparation of materials for initial use. Application deals with transformation of materials into products. Appreciation deals with the reception of materials by the entire community of users who come into contact with the material. In contrast to deterministic approaches to materials, the framework described here accepts the problematic nature of materiality in the modern era and allows historians and designers to integrate perspectives and methodologies from a variety of disciplines.","An interpretive framework for research on the history of materials",170,2002,"material/materials"
"17",17,"8","This paper challenges the use of the concepts ‘reflective practice’ and ‘learning cycles’ as a basis for analysing designing, for building coherent theories about human designing, and for developing design methodologies. It develops the argument via two paths: a review of the original formulation of the concepts of ‘reflective practice/practitioners’ and ‘learning cycles’; and an analysis of the implications of recent findings in the areas of brain and neurology research for building theories about designing. The paper suggests researchers have over extended the use of the reflective practice and learning cycle concepts: concepts that were devised as relatively coarse structural formulations bringing together some of the more obvious macroscopic characteristics of individual human functioning for business consultants and educators. It argues that new micro-level understandings of design cognition emerging from brain and neurological research offer a better basis for building theories about designing.","Are ‘the reflective practitioner’ and ‘learning cycles’ suitable foundations for theories about designing and design cognition",145,2002,"critical/world"
"18",18,"4","A design research study was conducted to investigate a topic that many are calling an imminent crisis – the needs of older drivers. Undertaken in conjunction with the Ergonomics and Biomechanics Department at New York University and the Design Department at the University of the Arts in Philadelphia, this study explores automobile instrument panel design and the driving capabilities of younger and older drivers. The study looks at the following factors pertinent to the design of instrument panels: 1) the affect of deterred visual attention on vehicle control. 2) drivers' abilities to reach for the instrument panel without looking. 3) differences in reach accuracy between younger and older drivers. 4) differences in vehicle control between younger and older drivers. Forty-eight drivers, aged 20 to 40 and 60 to 80 years, participated. Findings include: - For all drivers, steering accuracy is impaired when reaching. - Steering impairment is worse for older drivers. - Controls both closest and furthest from the steering wheel elicit better accuracy. - Locating the control by touch, rather than glance, results in more accurate reaches. - Older drivers are less accurate than younger drivers. - Older drivers reach faster, possibly the result of driving strategy. - Errors are systematic - drivers consistently reached too far and too low. This study was designed and conducted to address the specific needs of a vehicle design team. Recommendations for automobile instrument panel design, as well as design methodology, are discussed.","Automobile instrument panels for the real world",230,2002,"factors/results"
"19",19,"4","The purpose of this project was to provide barrier free bus stops for Taipei senior citizens and passengers with traffic difficulties e.g. blind, deaf and people with moving problems. The improved solution of a barrier-free environment consists of three aspects, which are a waiting zone, an oncoming bus information and assistive devices for weaker passengers. This study began with the investigation of the present contextual situation of Taipei City bus transportation systems, by using methodologies of observation, interviews, and documentation of literature. In order to select the most effective solution, a well-defined Ranking and Weighting method was then developed to access the factors of comparative importance. During this project, the Transportation Agency of Taipei City Council (TATCC, 1998) provided their existing bus transportation system for better insight assessments and also the Cultural and Educational Foundation for the Blind, Taiwan, offered the researchers a better understanding of blind people’s needs. This research finally provided an ideal barrier free bus stop design solution for Taipei senior citizens and weaker passengers. Through this solution, all passengers can not only wait for a bus in a safe and comfortable environment, but also be provided with a precise bus on-coming time schedule and useful information about alternative routes. Furthermore, the landscape of Taipei City can be improved considerably.","Barrier free bus stop design for Taipei senior citizens and weaker passengers",103,2002,"factors/results"
"20",20,"3","Governments and major industrial players regard successful innovation as one of the most significant factors in improving economic and social outcomes. Designing is the process by which new knowledge is transformed into innovative products, systems and services. Research into designing provides the foundation for improving designing and improving how innovation processes are managed. Stakeholders in design activities have relatively neglected design research. This paper focuses on the role of concepts and terminology in multidisciplinary design fields in supporting or inhibiting relationships between design professionals, designs researchers, design research educators, government and industry organisations.","Building better relationships between design research, design research education, government, industry and the design professions",86,2002,"service/services"
"21",21,"7","This paper describes a set of action research initiatives intended to disseminate the technical skills necessary to participation in an increasingly globalised design discourse. It starts by examining the shifting relationship between design, production and consumption triggered by globalisation. An account of partnerships between a network of “experts” and a range of “users” follows. This is premised on the use of available infrastructure and the sharing of modest technical skills. This has allowed partners in peripheral locations to embark on the more rewarding process of social learning and exploration of available ICTs without first having to climb a steep technical learning curve. Using available free web-sites, which provide simple on-line editors, and a minimum of HTML instructions, a sustainable presence has been developed for a range of individuals and organisations. Face-to-face contact in workshops has been supplemented with subsequent on-line contact and knowledge sharing. A combination of simply designed web pages has been linked with the leveraging of already available internet-accessible material to provide the means to create a sustainable presence from the margins. A model developed in the context of West Africa has proved useful to the U.K. periphery with real-time monitoring of public service provision being piloted in North-East England. This approach offers a framework for the design and delivery of goods and services to increasingly diverse and extensive markets. The paper describes the approach at the level of discrete design project, problem formulation and analysis and policy formulation and feedback.","Building on virtual common ground: design participation for the network age",66,2002,"communication/physical"
"22",22,"8","What does the Common Ground metaphor mean: solid rock, fertile soil, or swampy lowlands? Are we mapping the terrain or are we just constructing it because it would be comfortable to have one? We are in a historical moment, 40 years after the first conference on design methods, initiating the short “design science decade”, when other disciplines realize the fragile, fluid, historical character of their “grounds”. On the lists and in conferences there are fierce debates, yet mainly concerning details of the respective positions. On the other hand ambitious perspectives are proclaimed, without being rooted in the community. Contributions reveal little reference to each other. Researchers rarely seem to take into account positions outside the material that supports their own views. Struggles for definition power seem to be going on, somewhere between evidence and eloquence. Maybe this is due to the imperative: “publish or perish”; at least here we have university level. The paper presents a 4-step sequence of debate in a theory building process. This sample is then reframed twice, describing it as an evolutionary process and integrating it in a wider perspective of changing modes of knowledge production. Implications for design are discussed. My further intention is to initiate a novel form of debate, which might contribute to the communicative creation of Common Ground. The project “the basic PARADOX” poses the most fundamental question: are there foundations of design? The new imperative in academic design culture might be: “participate or perish”.","Common ground - a product or a process?",83,2002,"critical/world"
"23",23,"7","Communication is a basic desire for all humankind, and it is believed that no special groups should suffer from a cultural lag in communication. This study focuses on special groups like people with an acoustic disturbance, and those with a normal sense of hearing who are able only to communicate through sign and finger languages. Among the major difficulties encountered during communication, there were individual differences in the understanding of texts and in the expressive method of gestures. To solve these basic problems, this study largely consisted of three stages. Firstly, the illustrations used in the sign and finger language textbooks of the Seon-hee Seoul National School for the Deaf (SNSD), as representative of schools for handicapped children in Korea, were redesigned into different illustrations that incorporated a high level of perceptiveness. Secondly, new sign language textbooks were made by studying and applying the effects of line width and length, as well as the number of pictures, on the degree of perceptiveness in communication for developed sign and finger languages. Thirdly, a language output mode was created to focus on programs with high generality, centering on developed textbooks and various prototypes of sign and finger languages. The difference in perception, among other things, will be measured in consideration of the speed of sign language, the shape of characters and the emotional aspect. This new textbook for the deaf is planned to be released all around the world, although the study of its effects may require the whole lifetime of the researcher. However, in consideration of those people who have difficulty in satisfying the basic interactive desire of humans and are socially isolated in their capacity for communication, this study is worthy of great expectations for the future.","Comparison between communication instruments for people with speech impediments and the efficiency of GUI environments",108,2002,"communication/physical"
"24",24,"8","The present paper reconsiders some of the activities that properly constitute design research, by focusing on case studies of contract research carried out by the Design Contract Research Unit at Nottingham Trent University. A review of recent UK papers seeking to define the nature of design research suggests that a consensus is still some way off. Contract research, which is a professional research service undertaken for commissioning clients, poses further questions again, since a commercial service may amount to little more than jobbing work. The aims of this paper are to identify the characteristics of contract research in design through particular examples and to consider how far such particulars assist the search for general consensus.","Contract research in design",49,2002,"critical/world"
"25",25,"7","Architecture or Revolution. Revolution can be avoided. Le Corbusier","Deciphering myths in design: towards restoring the materiality of the object through the technique of re-sketching",127,2002,"communication/physical"
"26",26,"1","Design is a ‘good thing.’ “Use it well,” companies are often told, and you will reap the many rewards. But how exactly is design ‘used’ by the commercial organisation during NPD? As a complex activity that deals with at least as many intangible as tangible factors, how can design be constrained by any business process? And if businesses should adapt to gain more value from designers, in what ways should they change? Based on the results of Design Drivers, a three-year EPSRC-funded investigation, these are some of the questions that this paper seeks to answer. Examining the way in which designers operate within different environments – either as an inhouse designer or outsourced consultant; with different sized companies; in different industrial sectors – we will attempt to illustrate how designers can bring real value to their clients and indeed, the entire supply chain through innovation.","Design behaviours: the innovation advantage - the multi-faceted role of design in innovation",79,2002,"design/process"
"27",27,"1","As a result of the criticism of the conventional Western-inspired prototypical designs for lowincome public housing in Egypt, a new trend in design for this sort of housing, represented by the “Mubarak National Housing Project for Youth”, has been adopted by the professionals in recent years. If the main objective of any housing project is to meet user needs and preferences, has the design of the Mubarak housing project achieved this goal? and to what extent does this project differ from previous public housing schemes?. In an attempt to answer these questions, and speculate on an appropriate design approach for low-income people in Egypt, multi research methods have been adopted within the research discussed in this paper. The research reveals that the Mubarak project is, to a large extent, designed in the same rigid way as previous public housing schemes. The design process, in which any real changes should take place, remains intact. While it has been argued that users' needs could not be met without their active participation in the design process, this research indicates a wide gulf between this notion and the attitude of designers. Despite this, a considerable percentage of the users involved in the research believe that their participation in the design decision-making process is fundamental.","Design for the urban poor in Egypt: satisfying user needs or achieving the aspirations of professionals? The case of the Mubarak National Housing Project for Youth",391,2002,"design/process"
"28",28,"8","Design is about creating the ‘real’ world around us. Real life is complex, dynamic and uncertain. Truth is difficult enough to know, even with the best science, but ‘reality’, the domain of human experience, can be overwhelmingly paralyzing and beyond comprehension or understanding. Careful, accurate description, concomitant with clear explanation, is necessary but not sufficient in the quest for enough understanding to allow wise decisions to be made. The value of judgment is that it allows individuals to overcome their paralysis and engage with the messy complexity of life in a way that, when done well, can bring function, beauty, and meaning to human existence. In this paper we will examine judgment, particularly design judgment. We argue that a better understanding of judgment is needed if we want to improve our design ability in an intentional manner. Judgment is a key dimension in the process of design. The ability to make design judgments is what distinguishes a designer as a designer. The ability to make good design judgments distinguishes good design.","Design judgment: decision making in the ‘real’ world",472,2002,"critical/world"
"29",29,"1","In this paper the development and the outcome of the completed EPSRC funded ADS (Project Advanced Design Support for the Construction Design Process) will be presented. The focus of the project was mainly on managing design information without intruding too much on the design process. The ADS prototype can facilitate a change towards a more collaborative process in construction design by improving the effectiveness of decision-making throughout the project and to provide clients with the facility to relate design outcomes to design briefs across the whole building life cycle. Finally some of the emerging research strands generated by this piece of work will be introduced.","Design rationale and information management in the construction domain: the outcome of the ADS project and suggestions for future research",68,2002,"design/process"
"30",30,"6","Research that attempts to view prior investment in design as calculable risk is potentially important within an increasingly competitive new product development environment. An important aspect of such research was to identify investment in design as part of the financial and cultural risk within firms, in particular, the identification of critical decision points and their associated risks. Business success may now be related to a degree of risk involved in new product development decisions. The research described is currently being undertaken for the Design Council. Survey and analytical techniques have been used to elicit critical decision points in the development of selected Millennium Products. The primary selection (of 92) was based on an analysis of the design and technical innovation evident in currently available products. Secondary selection (of 16) was based on company responses to a short questionnaire. The final selection (of 6) represents the types of risk evaluation employed by each of these case studies. Detailed, illustrated case studies structure and describe informal and formal techniques. Research methods include the use of semi-structured interviews based on the NPD process supplemented by literature provided by each company. These were analysed with the aid of the qualitative tool NUD*IST (content analysis followed by secondary theory building analysis processes). Web based materials aimed at SMEs will be delivered via the Centre for Product Design Information (CPDI) located in the Birmingham Centre for Design Research, Birmingham Institute of Art and Design, University of Central England.","Design, risk and new product development",73,2002,"product/products"
"31",31,"8","Every dominant movement in art has depended upon the development of an accompanying critical discourse. Using the writings of design critics and design journalists, this paper suggests that there are similar, albeit under-developed, discursive dimensions to the reception of innovative design. Critics, advertisers and commentators offer vocabularies of appreciation analogous to the critical discourses of artistic avant-gardes. These suggest the manner in which a design should be used or experienced, the nature of experiences that should follow and the discontents with earlier forms that inspired it. A major implication is that the lukewarm enthusiasm of the UK public for good design is unlikely to be overcome simply by exposure to it. Good design, of some kinds at least, can no more be expected to speak for itself than good art. It needs to be approached with some understanding of what it sets out to do, what is to be gained by engaging with it, motivated, where appropriate, by a new sensitivity to the shortcomings of what went before. Except amongst those already inclined to value design innovation, such frames of mind are unlikely to arise spontaneously. They depend on the promulgation of appropriate vocabularies of appreciation from within the relevant design communities, and these, like the discourses of modern art, will need to possess a critical and historical dimension.","Design, words and history",109,2002,"critical/world"
"32",32,"8","The design of virtual place constitutes a special and new class of design. Virtual places are both forms of information as well as information of form. Though we already have actual experience with virtual functions in the form of virtual museums, virtual shops, virtual schools etc., there, as yet, exists no theoretical basis informing the design of virtual place. New experience is beginning to emerge that deals with key issues in the use of, and interaction in, virtual places. Among these issues is designing the sense of presence in what is a virtual world. This new knowledge and understanding is beginning to help to define this new field of design. The objective of the research has been to determine and define the generic requirements of a virtual place from a design point of view. The paper describes an experimental program whose objective was to identify generic design concepts of “virtual place”. A goal of this work has been to make a conceptual mapping of Cyberspace. We present the basis for the conceptual mapping employing the ICF formalism in making the survey, analysis and the categorization of relevant sites.","Designing conceptual mapping in cyberspace",103,2002,"critical/world"
"33",33,"1","This paper presents a new design process framework for interaction design of computer-embedded products (information appliances) and examines the feasibility of the framework in the design education and practice through case studies. The main feature is the application of a new prototyping environment that employs a widely available presentation tool, MS PowerPoint, for building fully functional engineering quality prototypes of computer embedded digital products without assistance from electronic engineers. The proposed interaction design process framework involves four phases. i) to analyze the user context, ii) to create conceptual models using State Transition Charts, iii) to develop hardware-software hybrid prototypes using the designer-friendly prototyping environment, vi) to conduct usability studies using the prototype. Scenarios, storyboards, concept generation tools, Sate Transition Charts, a hardware-software hybrid prototyping method, and an automatic usability data collection method are introduced as key practical techniques to be employed in each phase of the process framework. Case studies undertaken in the UK and Korean universities show that the framework was feasible for the design education and acceptable for the design students in both countries. The paper also presents how the framework and the prototyping environment can be extended for developing interaction design of multi-user products through the case study project of designing a set of portable information guides for group visitors of the natural history museum.","Designing information appliances: the evaluation of a design process framework based on a designer-friendly prototyping environment",99,2002,"design/process"
"34",34,"4","I start from two assertions: philosophy is our highest form of practical reasoning; design is our highest form of practical adaptation to our environment. I ask a question. What necessary conditions must exist for us to do both philosophising and designing? The method of argument I use is based on the philosophical methods of Wittgenstein’s Philosophical Investigations and the principle of parsimony or Occam’s razor: what is the simplest set of ideas necessary to answer the question. The area of design on which I draw most heavily is the area in which I have done most of my designing and researching: information design. The argument leads to seeing designing and philosophising as either panaceas or prostheses. If we ‘change the aspect’ in a Wittgensteinian sense, we can move between these two. The practical and social implications of this conclusion suggest that ‘designing philosophy’ (in the full ambiguity that the phrase implies) may well be one of the most important aspects of intellectual life in the 21st Century.","Designing philosophy",193,2002,"factors/results"
"35",35,"1","Increasingly connected, empowered and informed consumers have ever higher demands and expectations of product and service provision. Organisations which are not sufficiently agile and responsive to meet such expectations will face failure. Collaborative Envisioning - a methodology for enabling collaboration across supply chains using design tools to meet consumer demands in the new economy - has been developed by the authors in a demonstration project titled Beyond the Fridge which was described and discussed in a paper given at the 10th International Forum on Design Management Research & Education and analysed with recommendations in a paper given at the 4th European Academy of Design Conference. Beyond the Fridge considered large corporations with effective control over their own supply chains. The barriers to SMEs developing new business models in response to new customer, user and consumer requirements are quite different from those faced by large corporations and tend to centre around the fragility of the company’s position in the supply chain and its defence of this position. This paper reports on the development of the Collaborative Envisioning methodology to engage with SMEs, the utilisation of design skills within this process and the role of universities and design academics as partners with SMEs.","Designing supply chain innovation",63,2002,"design/process"
"36",36,"2","This paper describes ongoing research that is located within the context of the changing culture of the design classroom and the rapid growth in the exploitation of telecommunication networks on teaching and learning. The research investigates the use of ICT for international collaboration in the design classroom and the implications this might have for design curriculum development. Design education could benefit from the 'added value' of communication technology as could design students from being exposed to cross-cultural and international perspectives. If developing technology is to impact successfully on educational design practice then design teachers need to adopt a professional attitude towards the use of ICT while students will need to develop skills and abilities to deal with it for learning and research. Developments such as computer conferencing already offer alternative pathways for collaborative activities and group-to-group collaboration is now possible at a distance and encourages shared experience and co-operation. Incorporating aspects of this technology into design education could develop students’ cognitive abilities in making decisions, problem solving and being flexible in formulating ideas and handling information (Goodfellow & Kukulska-Holme, 1996).","Designing within a computer-mediated-communications environment: a current investigation.",68,2002,"students/learning"
